name,school,level,cast_time,distance,target,duration,save,resist,component,area,effect,description
Безумие,очарование (принуждение) [разум],чародей / волшебник 7,1 основное действие,средняя (100 футов + 10 футов / 1 УЗ),одно живое существо,мгновенное,Воли отменяет,да,"С, Ж",,,"<p>Жертва этого заклинания впадает в замешательство (как от соответствующего заклинания) навсегда.</p>
<p>Снятие проклятия не рассеивает безумие. Высшее восстановление, желание, излечение, ограниченное желание или чудо могут его рассеять.</p>"
Бесследный шаг,превращение,"друид 1, следопыт 1",1 основное действие,касание,одно существо / 1 УЗ,1 час / 1 УЗ (П),Воли отменяет (безвредно),да (безвредно),"С, Ж, СФ",,,"<p>Под воздействием этого заклинания существа не оставляют следов — ни отпечатков, ни запаха. Их невозможно выследить без помощи магии.</p>"
Благо,превращение,"жрец 0, друид 0, паладин 1",1 основное действие,касание,существо (которого коснулись),1 минута,нет,да (безвредно),"С, Ж, СФ",,,"<p>Своим прикосновением вы чуть-чуть увеличиваете живучесть существа, давая ему один временный ПЗ.</p>"
Благословение,очарование (принуждение) [разум],"жрец 1, паладин 1",1 основное действие,50 футов,,1 мин. / 1 УЗ,нет,да (безвредно),"С, Ж, СФ",вы и все ваши союзники в радиусе 50 футов,,"<p>Благословение придает храбрости вашим союзникам. Каждый из них получает +1 (эмоциональный) к атакам и испытаниям ужасом.</p>
<p>Благословение нейтрализует и рассеивает отповедь.</p>"
Благословение воды,превращение [добро],"жрец 1, паладин 1",1 минута,касание,фляжка с водой,мгновенное,Воли отменяет (предмет),да (предмет),"С, Ж, Р (5 фунтов толченого серебра стоимостью 25 зм)",,,"<p>Это заклинание наполняет одну фляжку позитивной энергией, делая содержащуюся в ней обычную воду святой (см. стр. 224).</p>"
Благословение оружия,превращение,паладин 1,1 основное действие,касание,одно оружие,1 мин. / 1 УЗ,нет,нет,"С, Ж",,,"<p>Это заклинание делает оружие особенно эффективным против злых врагов. Оно считается имеющим +1 (усиление) для преодоления СУ злых существ, а также для ударов по бестелесным злым существам. Настоящего модификатора усиления заклинание при этом не дает. Оружие после этого также считается добрым по мировоззрению, что позволяет ему преодолевать СУ ряда существ;</p>
<p>этот эффект временно перекрывает и отменяет любое мировоззрение оружия, если таковое имеется. Вы можете благословлять отдельные стрелы, но благословение стрелкового оружия, вроде луков и арбалетов, не дает особых свойств выпущенным из них боеприпасам.</p>
<p>Наконец, критические удары, нанесенные благословленным оружием, подтверждаются автоматически. Это не сочетается с любыми другими эффектами для критических ударов, такими как у острого или стрижающего оружия.</p>"
Блестки,воплощение (созидание),"бард 2, чародей / волшебник 2",1 основное действие,средняя (100 футов + 10 футов / 1 УЗ),,1 раунд / 1 УЗ,Воли отменяет (только ослепление),нет,"С, Ж, Р (молотая слюда)",существа и предметы в радиусе 10 футов (облако),,"<p>Облако золотой пыли покрывает все в области действия, ослепляя существ и выдавая невидимок. Пыль липкая и блестит, ее невозможно стряхнуть, пока заклинание не прекратит действовать.</p>
<p>Каждый раунд в конце своего хода существа могут попробовать пройти испытание Воли еще раз, чтобы восстановить зрение.</p>
<p>Любое покрытое золотыми блестками существо имеет штраф –40 к проверкам Скрытности.</p>"
Блистающий узор,иллюзия (узор) [разум],чародей / волшебник 8,1 основное действие,близкая (25 футов + 5 футов / 2 УЗ),,концентрация + 2 раунда,нет,да,"С, Ж, Р (хрустальная призма)",,цветные огни в радиусе 20 футов (облако),"<p>Вы ткете в воздухе сложный цветной узор из огней, который действует на разум всех существ в области заклинания. Он влияет на противников с общим количеством КЗ не более вашего УЗ (максимум 20); первыми он затрагивает существ с самым низким количеством КЗ, а при равных количествах КЗ — тех, кто ближе к центру области заклинания. Любые лишние КЗ, недостаточные для воздействия на кого-либо, теряются. Эффекты заклинания различны и зависят от количества КЗ существа.</p>
<p>6 или меньше: Без сознания на 1d4 раунда, затем в шоке на 1d4 раунда, затем в замешательстве на 1d4 раунда. Для неживых существ ≪без сознания≫ считается как ≪в шоке≫.</p>
<p>От 7 до 12: В шоке на 1d4 раунда, затем в замешательстве еще на 1d4 раунда.</p>
<p>13 или более: В замешательстве на 1d4 раунда.</p>
<p>На слепых существ блистающий узор не действует.</p>"
Божественная мощь,разрушение,жрец 4,1 основное действие,на себя,вы сами,1 раунд / 1 УЗ,,,"С, Ж, СФ",,,"<p>Обращаясь к мощи своего божества-покровителя, вы увеличиваете свою боевую силу и умение, получая +1 (удача) ко всем атакам, урону, проверкам Силы и навыкам, связанным с Силой, за каждые 3 УЗ (максимум +6). Вы также получаете один временный ПЗ за единицу вашего УЗ. Если вы совершаете полную атаку, то можете предпринять одну дополнительную атаку с полным БМА и всеми соответствующими модификаторами. Эта дополнительная атака не добавляется к дополнительным атакам от иных аналогичных источников, вроде заклинания ускорение или быстрого оружия.</p>"
Божественное наставление,прорицание,"жрец 0, друид 0",1 основное действие,касание,существо (которого коснулись),1 минута или пока не сработает,Воли отменяет (безвредно),да,"С, Ж",,,"<p>Это заклинание помогает существу и дает бонус +1 (мастерство)</p>
<p>на одну атаку, испытание или проверку навыка. Игрок должен объявить, что использует этот модификатор, перед тем как бросать кости.</p>"
Божественное откровение,прорицание,жрец 5,10 минут,на себя,вы сами,1 раунд / 1 УЗ,,,"С, Ж, Р (святая или нечестивая вода, а также благовония стоимостью 500 зм), СФ",,,"<p>Вы обращаетесь к своему божеству или его представителям, задавая вопросы, на которые можно дать ответы ≪да≫ или ≪нет≫. Если вы поклоняетесь не одному конкретному божеству, то обращаетесь к любой высшей силе, подходящей вам по религии. Вы можете задать такому собеседнику один вопрос за единицу своего УЗ;</p>
<p>он отвечает вам в соответствии со своими представлениями. ≪Не знаю≫ —вполне законный ответ, поскольку могущественные существа со Внешних планов необязательно всеведущи. Там, где односложный ответ на вопрос противоречит интересам божества или только запутает спрашивающего, вместо ≪да / нет≫ в качестве ответа может прозвучать короткая фраза не более чем из пяти слов.</p>
<p>Все, что может сделать это заклинание, —помочь персонажу в принятии решения. Отвечая на ваши вопросы, иномирная сущность не забывает о своих интересах. Если вы в процессе задавания вопросов делаете паузу, начинаете обсуждать ответы или отвлекаетесь на другую задачу, заклинание прекращает действовать.</p>"
Бойкий язык,превращение,бард 3,1 основное действие,на себя,вы сами,10 мин. / 1 УЗ (П),,,Ж,,,"<p>Вы обретаете способность говорить очень гладко и убедительно, так что слушатели оказываются склонны верить вашим словам. Вы получаете +20 к проверкам Блефа в разговоре. Это не относится к другим случаям применения Блефа вроде финтов и отвлекающих маневров для получения возможности спрятаться или передачи тайных посланий.</p>
<p>Если кто-то использует против вас магический эффект, заставляющий вас говорить правду или обнаруживающий вашу ложь, то он для успеха должен пройти проверку УЗ (1d20 +УЗ) со СЛ, равной 15 + ваш УЗ. В случае провала он не замечает вашу ложь и не может заставить вас говорить правду.</p>"
Болезнь,некромантия [зло],"жрец 3, друид 3, чародей / волшебник 4",1 основное действие,касание,одно живое существо (которого коснулись),мгновенное,Стойкости отменяет,да,"С, Ж",,,"<p>Заклинание заражает существо одной из следующих болезней: слепящий недуг, бубонная чума, горячечный кашель, заражение крови, проказа, воспаление мозга, красная ломота, трясучка или склизкая погибель. Болезнь начинается немедленно без инкубационного периода. Далее используйте указанные в описании болезни эффекты, частоту и сложности испытаний Стойкости. Подробнее информацию по болезням смотрите на стр. 856</p>"
Буря возмездия,воплощение (призывание),"жрец 9, друид 9",1 раунд,дальняя (400 футов + 40 футов / 1 УЗ),,концентрация (максимум 10 раундов) (П),см. текст,да,"С, Ж",,туча радиусом 360 футов,"<p>Вы призываете темную грозовую тучу. Все существа, оказавшиеся в ее пределах, должны пройти испытание Стойкости и в случае провала оглохнуть на 1d4 × 10 минут. Каждый раунд вы продолжаете концентрироваться, усиливая бурю; все описанные ниже эффекты действуют в ваш ход.</p>
<p>2 раунд: В области действия заклинания выпадает кислотный дождь, нанося 1d6 урона от кислоты (без испытаний).</p>
<p>3 раунд: Из тучи появляются шесть молний; вы выбираете, куда они ударят, но все они должны быть направлены на разные цели.</p>
<p>Каждая наносит 10d6 урона электричеством. Существо, в которое она попала, может пройти испытание Реакции, чтобы при успехе уменьшить урон вдвое.</p>
<p>4 раунд: В области действия заклинания выпадает град, нанося 5d6 дробящего урона (без испытаний).</p>
<p>5–10 раунды: Ливень и порывы ветра в области мешают видеть (не помогает даже ночное зрение) далее 5 футов; все существа в 5 футах плохо видны (вероятность промаха 20%), а находящиеся дальше — не видны (вероятность промаха 50%, нельзя использовать зрение для обнаружения цели). Скорость у всех уменьшается до ½ от обычной. Невозможно предпринимать дистанционные атаки в области действия заклинания; чтобы сотворить заклинание, надо пройти проверку концентрации со CЛ, равной СЛ испытания против бури возмездия + круг сотворяемого заклинания.</p>"
Бычья сила,превращение,"жрец 2, друид 2, паладин 2, чародей / волшебник 2",1 основное действие,касание,существо,1 мин. / 1 УЗ,Воли отменяет (безвредно),да (безвредно),"С, Ж, Р / СФ (несколько волосков с бычьей шкуры или кусочек бычьего навоза)",,,"<p>Заколдованное существо становится сильнее. Бычья сила дает ему +4 (усиление) к Силе, соответственно улучшая его атаки и урон в ближнем бою, а также все прочие связанные с Силой параметры.</p>"
"Бычья сила, массовая",превращение,"жрец 6, друид 6, чародей / волшебник 6",,близкая (25 футов + 5 футов / 2 УЗ),одно существо / 1 УЗ; все в пределах 30 футов друг от друга,,,,,,,"<p>Это заклинание работает так же, как бычья сила, но воздействует на несколько существ сразу.</p>"
Великое созидание,воплощение (созидание),чародей / волшебник 5,10 минут,близкая (25 футов + 5 футов / 2 УЗ),,см. текст,,,,,,"<p>Это заклинание работает так же, как малое созидание, но с его помощью вы можете также создавать предметы из неорганических материалов: камня, стекла, металла и т. д. Сколько такой предмет просуществует, зависит от его твердости и редкости, как показано в таблице ниже.</p>
<p>Примеры твердости и редкости Длит.</p>
<p>Материалы растительного происхождения 2 часа / 1 УЗ</p>
<p>Камень, хрусталь, черные металлы 1 час / 1 УЗ</p>
<p>Драгоценные металлы 20 мин. / 1 УЗ</p>
<p>Драгоценные камни 10 мин. / 1 УЗ</p>
<p>Экзотический металл* 1 раунд / 1 УЗ</p>
<p>* Включает адамантин, алхимическое серебро и мифрал. С помощью</p>
<p>этого заклинания нельзя создать холодное железо.</p>"
Великолепный особняк волшебника,воплощение (созидание),чародей / волшебник 7,1 основное действие,близкая (25 футов + 5 футов / 2 УЗ),,2 часа / 1 УЗ (П),нет,нет,"С, Ж, Ф (миниатюрная дверца из слоновой кости, кусочек полированного мрамора и серебряная ложка, стоимость каждого предмета 5 зм)",,межпространственное помещение размером до (трех кубов 10×10×10 футов) / 1 УЗ (Ф),"<p>Вы создаете целый волшебный межпространственный особняк с единственным входом в том месте, где вы творили заклинание. Вход выглядит как легкое мерцание в воздухе шириной 4 фута и высотой 8 футов. Войти могут только выбранные вами существа, а проход закрывается за вами. Вы можете снова открыть его с другой стороны, когда захотите. Все вошедшие оказываются в роскошном холле, ведущем во множество залов. В волшебном особняке тепло и воздух всегда свежий. Планировку особняка вы выбираете сами, лишь бы они помещались в допустимую область эффекта. В покоях есть мебель а также достаточно пищи, чтобы устроить пир из девяти блюд для дюжины человек за УЗ. Гостей обслуживают полупрозрачные слуги в ливреях, максимум 2 за единицу УЗ — у них параметры невидимого слуги, только они прекрасно видны и могут перемещаться куда угодно в пределах особняка. Поскольку войти в особняк можно только через специальную дверь, внешние условия не влияют на происходящее внутри, а происходящее внутри — на окружающую среду.</p>"
Вердикт,"разрушение [принципиальность, звук]",жрец 7,1 основное действие,40 футов,,мгновенное,нет или испытание Воли отменяет; см. текст,да,С,непринципиальные существа в радиусе 40 футов от вас,,"<p>Это заклинание причиняет вред всем непринципиальным существам в области действия с дополнительными эффектами, зависящими от количества КЗ этих существ.</p>
<p>Количество КЗ Эффект</p>
<p>Равное уровню Глухота</p>
<p>заклинателя</p>
<p>До уровня Ошеломление, глухота</p>
<p>заклинателя – 1</p>
<p>До уровня Паралич, ошеломление, глухота</p>
<p>заклинателя – 5</p>
<p>До уровня Смерть, паралич, ошеломление, глухота</p>
<p>заклинателя – 10</p>
<p>Все эти эффекты происходят одновременно. Существо проходит только одно испытание для всех: успех ослабляет или отменяет эффекты заклинания.</p>
<p>Глухота: Существо глохнет на ближайшие 1d4 раунда. Успешно пройденное испытание отменяет эффект.</p>
<p>Ошеломление: Существо становится ошеломленным на 2d4 раунда. Успешно пройденное испытание сокращает время эффекта до 1d4 раундов.</p>
<p>Паралич: Существо становится парализованным и беспомощным на 1d10 минут. Успешно пройденное испытание снижает время паралича на 1 раунд.</p>
<p>Смерть: Живое существо умирает, нежить — уничтожается.</p>
<p>Успешно пройденное испытание отменяет этот эффект, но существо получает 3d6 урона + 1 за единицу вашего УЗ (максимум +25).</p>
<p>Кроме того, если вы используете это заклинание, находясь на своем родном плане, непринципиальные потусторонние существа в области немедленно изгоняются на свои родные планы.</p>
<p>После этого они не могут вернуться в течение 24 часов. Это происходит вне зависимости от того, могли эти существа слышать вердикт или нет, однако они могут пройти испытание Воли со СЛ на 4 выше, чтобы остаться.</p>
<p>Существа, количество КЗ которых больше вашего УЗ, невосприимчивы к действию вердикта.</p>"
Верный пес волшебника,воплощение (созидание),чародей / волшебник 5,1 основное действие,близкая (25 футов + 5 футов / 2 УЗ),,"1 час / 1 УЗ или пока не сработает, затем 1 раунд / 1 УЗ; см. текст",нет,нет,"С, Ж, Р (маленький серебряный свисток, кусочек кости и нитка)",,фантомная собака,"<p>Вы создаете фантомную собаку, невидимую для всех, кроме вас. Она охраняет место, на которое ее призвали, и никуда не уходит.</p>
<p>Собака начинает громко лаять, если существо размером от небольшого и более приближается к ней на 30 футов. Те, кто уже находился в пределах 30 футов от собаки, когда ее вызвали, могут перемещаться внутри этой зоны, но если они уйдут и вернутся, то собака залает на них. Собака видит невидимых и эфирных существ. Она не реагирует на фикции, но реагирует на теневые иллюзии.</p>
<p>Если кто-то подходит ближе и оказывается на расстоянии 5 футов от собаки, она прекращает лаять и начинает кусаться (модификатор атаки + 10, 2d6+3 колющего урона, одна атака в раунд).</p>
<p>Собака также получает все преимущества невидимости. У нее всегда подготовлено действие ≪кусать тех, кто подойдет≫, поэтому она производит первый укус незамедлительно, в ход противника.</p>
<p>Ее зубы считаются волшебными, если речь идет о преодолении СУ. Собаку невозможно атаковать в ответ, но ее можно рассеять, как заклинание.</p>
<p>Заклинание длится 1 час за единицу вашего УЗ, но после того, как собака начала лаять, оно остается только 1 раунд за УЗ. Если вы уходите от собаки дальше чем на 100 футов, заклинание прекращает действовать. </p>"
